Section_num,content
197,"197. (1) Whoever, by words either spoken or written or by signs or by visiblerepresentations or through electronic communication or otherwise,—(a) makes or publishes any imputation that any class of persons cannot, byreason of their being members of any religious, racial, language or regional group orcaste or community, bear true faith and allegiance to the Constitution of India as by lawestablished or uphold the sovereignty and integrity of India; or(b) asserts, counsels, advises, propagates or publishes that any class of personsshall, by reason of their being members of any religious, racial, language or regionalgroup or caste or community, be denied, or deprived of their rights as citizens of India; or(c) makes or publishes any assertion, counsel, plea or appeal concerning theobligation of any class of persons, by reason of their being members of any religious,racial, language or regional group or caste or community, and such assertion, counsel,plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred orill-will between such members and other persons; or(d) makes or publishes false or misleading information, jeopardising thesovereignty, unity and integrity or security of India,shall be punished with imprisonment which may extend to three years, or with fine, or withboth.(2) Whoever commits an offence specified in sub-section (1) in any place of worshipor in any assembly engaged in the performance of religious worship or religious ceremonies,shall be punished with imprisonment which may extend to five years and shall also be liableto fine.CHAPTERXIIOF OFFENCES BY OR RELATING TO PUBLIC SERVANTS"
198,"198. Whoever, being a public servant, knowingly disobeys any direction of the law asto the way in which he is to conduct himself as such public servant, intending to cause, orknowing it to be likely that he will by such disobedience, cause injury to any person, shall bepunished with simple imprisonment for a term which may extend to one year, or with fine, orwith both.Imputations,assertionsprejudicial tonationalintegration.Public servantdisobeying law,with intent tocause injury toany person.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY57_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Illustration.A, being an officer directed by law to take property in execution, in order to satisfy adecree pronounced in Z’s favour by a Court, knowingly disobeys that direction of law, withthe knowledge that he is likely thereby to cause injury to Z. A has committed the offencedefined in this section."
199,"199. Whoever, being a public servant,—(a)knowinglydisobeysanydirectionofthelawwhichprohibitshim from requiringthe attendance at any place of any person for the purpose of investigation into anoffence or any other matter; or(b) knowingly disobeys, to the prejudice of any person, any other direction ofthe law regulating the manner in which he shall conduct such investigation; or(c) fails to record any information given to him under sub-section (1) ofsection 173 of the Bharatiya Nagarik Suraksha Sanhita, 2023 in relation to cognizableoffence punishable under section 64, section 65, section 66, section 67, section 68,section 70, section 71, section 74, section 76, section 77, section 79, section 124,section 143 or section 144,shall be punished with rigorous imprisonment for a term which shall not be less than sixmonths but which may extend to two years, and shall also be liable to fine."
200,"200. Whoever, being in charge of a hospital, public or private, whether run by theCentral Government, the State Government, local bodies or any other person, contravenesthe provisions of section 397 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall bepunished with imprisonment for a term which may extend to one year, or with fine, or withboth."
201,"201. Whoever, being a public servant, and being, as such public servant, charged withthe preparation or translation of any document or electronic record, frames, prepares ortranslates that document or electronic record in a manner which he knows or believes to beincorrect, intending thereby to cause or knowing it to be likely that he may thereby causeinjury to any person, shall be punished with imprisonment of either description for a termwhich may extend to three years, or with fine, or with both."
202,"202. Whoever, being a public servant, and being legally bound as such public servantnot to engage in trade, engages in trade, shall be punished with simple imprisonment for aterm which may extend to one year, or with fine, or with both or with community service."
203,"203. Whoever, being a public servant, and being legally bound as such public servant,not to purchase or bid for certain property, purchases or bids for that property, either in hisown name or in the name of another, or jointly, or in shares with others, shall be punishedwith simple imprisonment for a term which may extend to two years, or with fine, or with both;and the property, if purchased, shall be confiscated."
204,"204. Whoever pretends to hold any particular office as a public servant, knowing thathe does not hold such office or falsely personates any other person holding such office, andin such assumed character does or attempts to do any act under colour of such office, shallbe punished with imprisonment of either description for a term which shall not be less thansix months but which may extend to three years and with fine."
205,"205. Whoever, not belonging to a certain class of public servants, wears any garb orcarries any token resembling any garb or token used by that class of public servants, withthe intention that it may be believed, or with the knowledge that it is likely to be believed, thathe belongs to that class of public servants, shall be punished with imprisonment of eitherdescription for a term which may extend to three months, or with fine which may extend tofive thousand rupees, or with both.Public servantdisobeyingdirection underlaw.Punishmentfor non-treatment ofvictim.Public servantframing anincorrectdocument withintent to causeinjury.Public servantunlawfullyengaging intrade.Public servantunlawfullybuying orbidding forproperty.Personating apublic servant.Wearing garbor carryingtoken used bypublic servantwith fraudulentintent.58THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________CHAPTERXIIIOF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS"
206,"206. Whoever absconds in order to avoid being served with a summons, notice ororder proceeding from any public servant legally competent, as such public servant, to issuesuch summons, notice or order,––(a) shall be punished with simple imprisonment for a term which may extend toone month, or with fine which may extend to five thousand rupees, or with both;(b) where such summons or notice or order is to attend in person or by agent, orto produce a document or an electronic record in a Court shall be punished with simpleimprisonment for a term which may extend to six months, or with fine which may extendto ten thousand rupees, or with both."
207,"207. Whoever in any manner intentionally prevents the serving on himself, or on anyother person, of any summons, notice or order proceeding from any public servant legallycompetent, as such public servant, to issue such summons, notice or order, or intentionallyprevents the lawful affixing to any place of any such summons, notice or order or intentionallyremoves any such summons, notice or order from any place to which it is lawfully affixed orintentionally prevents the lawful making of any proclamation, under the authority of anypublic servant legally competent, as such public servant, to direct such proclamation to bemade,––(a) shall be punished with simple imprisonment for a term which may extend toone month, or with fine which may extend to five thousand rupees, or with both;(b) where the summons, notice, order or proclamation is to attend in person or byagent, or to produce a document or electronic record in a Court, with simpleimprisonment for a term which may extend to six months, or with fine which may extendto ten thousand rupees, or with both."
208,"208. Whoever, being legally bound to attend in person or by an agent at a certain placeand time in obedience to a summons, notice, order, or proclamation proceeding from anypublic servant legally competent, as such public servant, to issue the same, intentionallyomits to attend at that place or time or departs from the place where he is bound to attendbefore the time at which it is lawful for him to depart,––(a) shall be punished with simple imprisonment for a term which may extend toone month, or with fine which may extend to five thousand rupees, or with both;(b) where the summons, notice, order or proclamation is to attend in person or byagent in a Court with simple imprisonment for a term which may extend to six months,or with fine which may extend to ten thousand rupees, or with both.Illustrations.(a) A, being legally bound to appear before a High Court, in obedience to asubpoena issuing from that Court, intentionally omits to appear. A has committed theoffence defined in this section.(b) A, being legally bound to appear before a District Judge, as a witness, inobedience to a summons issued by that District Judge intentionally omits to appear.Ahas committed the offence defined in this section."
209,"209. Whoever fails to appear at the specified place and the specified time as requiredby a proclamation published under sub-section (1) of section 84 of the Bharatiya NagarikSuraksha Sanhita, 2023, shall be punished with imprisonment for a term which may extend tothree years, or with fine, or with both, or with community service, and where a declaration hasbeen made under sub-section (4) of that section pronouncing him as a proclaimed offender,he shall be punished with imprisonment for a term which may extend to seven years and shallalso be liable to fine.Absconding toavoid serviceof summons orotherproceeding.Preventingservice ofsummons orotherproceeding, orpreventingpublicationthereof.Non-attendance inobedience toan order frompublic servant.Non-appearance inresponse to aproclamationundersection 84 ofBharatiyaNagarikSurakshaSanhita, 2023.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY59_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
210,"210. Whoever, being legally bound to produce or deliver up any document or electronicrecord to any public servant, as such, intentionally omits so to produce or deliver up thesame,––(a) shall be punished with simple imprisonment for a term which may extend toone month, or with fine which may extend to five thousand rupees, or with both;(b) and where the document or electronic record is to be produced or deliveredup to a Court with simple imprisonment for a term which may extend to six months, orwith fine which may extend to ten thousand rupees, or with both.Illustration.A, being legally bound to produce a document before a District Court, intentionallyomits to produce the same. A has committed the offence defined in this section."
211,"211. Whoever, being legally bound to give any notice or to furnish information on anysubject to any public servant, as such, intentionally omits to give such notice or to furnishsuch information in the manner and at the time required by law,––(a) shall be punished with simple imprisonment for a term which may extend toone month, or with fine which may extend to five thousand rupees, or with both;(b) where the notice or information required to be given respects the commissionof an offence, or is required for the purpose of preventing the commission of anoffence, or in order to the apprehension of an offender, with simple imprisonment for aterm which may extend to six months, or with fine which may extend to ten thousandrupees, or with both;(c) where the notice or information required to be given is required by an orderpassed under section 394 of the Bharatiya Nagarik Suraksha Sanhita, 2023 withimprisonment of either description for a term which may extend to six months, or withfine which may extend to one thousand rupees, or with both."
212,"212. Whoever, being legally bound to furnish information on any subject to anypublic servant, as such, furnishes, as true, information on the subject which he knows or hasreason to believe to be false,––(a) shall be punished with simple imprisonment for a term which may extend tosix months, or with fine which may extend to five thousand rupees, or with both;(b) where the information which he is legally bound to give respects thecommission of an offence, or is required for the purpose of preventing the commissionof an offence, or in order to the apprehension of an offender, with imprisonment ofeither description for a term which may extend to two years, or with fine, or with both.Illustrations.(a)A, a landholder, knowing of the commission of a murder within the limits ofhis estate, wilfully misinforms the Magistrate of the district that the death has occurredby accident in consequence of the bite of a snake. Ais guilty of the offence defined inthis section.(b) A, a village watchman, knowing that a considerable body of strangers haspassed through his village in order to commit a dacoity in the house of Z, a wealthymerchant residing in a neighbouring place, and being legally bound to give early andpunctual information of the above fact to the officer of the nearest police station,wilfully misinforms the police officer that a body of suspicious characters passedthrough the village with a view to commit dacoity in a certain distant place in a differentdirection. Here A is guilty of the offence defined in this section.Omission toproducedocument orelectronicrecord topublic servantby personlegally boundto produce it.Omission togive notice orinformation topublic servantby personlegally boundto give it.Furnishingfalseinformation.60THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Explanation.—In section 211 and in this section the word “offence” include any actcommitted at any place out of India, which, if committed in India, would be punishableunder any of the following sections, namely, 103, 105, 307, sub-sections (2), (3) and (4) ofsection 309, sub-sections (2), (3), (4) and (5) of section 310, 311, 312, clauses (f) and (g) ofsection 326, sub-sections (4), (6), (7) and (8) of section 331, clauses (a) and (b) ofsection 332 and the word “offender” includes any person who is alleged to have beenguilty of any such act."
213,"213. Whoever refuses to bind himself by an oath or affirmation to state the truth,when required so to bind himself by a public servant legally competent to require that heshall so bind himself, shall be punished with simple imprisonment for a term which mayextend to six months, or with fine which may extend to five thousand rupees, or with both."
214,"214. Whoever, being legally bound to state the truth on any subject to any publicservant, refuses to answer any question demanded of him touching that subject by suchpublic servant in the exercise of the legal powers of such public servant, shall be punishedwith simple imprisonment for a term which may extend to six months, or with fine whichmay extend to five thousand rupees, or with both."
215,"215. Whoever refuses to sign any statement made by him, when required to signthat statement by a public servant legally competent to require that he shall sign thatstatement, shall be punished with simple imprisonment for a term which may extend tothree months, or with fine which may extend to three thousand rupees, or with both."
216,"216. Whoever, being legally bound by an oath or affirmation to state the truth onany subject to any public servant or other person authorised by law to administer suchoath or affirmation, makes, to such public servant or other person as aforesaid, touchingthat subject, any statement which is false, and which he either knows or believes to befalse or does not believe to be true, shall be punished with imprisonment of eitherdescription for a term which may extend to three years, and shall also be liable to fine."
217,"217. Whoever gives to any public servant any information which he knows orbelieves to be false, intending thereby to cause, or knowing it to be likely that he willthereby cause, such public servant—(a) to do or omit anything which such public servant ought not to do or omitif the true state of facts respecting which such information is given were known byhim; or(b) to use the lawful power of such public servant to the injury or annoyanceof any person,shall be punished with imprisonment of either description for a term which may extend toone year, or with fine which may extend to ten thousand rupees, or with both.Illustrations.(a) A informs a Magistrate that Z, a police officer, subordinate to such Magistrate,has been guilty of neglect of duty or misconduct, knowing such information to be false,and knowing it to be likely that the information will cause the Magistrate to dismiss Z. Ahas committed the offence defined in this section.(b) A falsely informs a public servant that Z has contraband salt in a secret place,knowing such information to be false, and knowing that it is likely that the consequenceof the information will be a search of Z’s premises, attended with annoyance to Z. A hascommitted the offence defined in this section.Refusing oathor affirmationwhen dulyrequired bypublic servantto make it.Refusing toanswer publicservantauthorised toquestion.Refusing tosign statement.Falsestatement onoath oraffirmation topublic servantor personauthorised toadminister anoath oraffirmation.Falseinformation,with intent tocause publicservant to usehis lawfulpower toinjury ofanotherperson.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY61_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(c) A falsely informs a policeman that he has been assaulted and robbed in theneighbourhood of a particular village. He does not mention the name of any person as oneof his assailants, but knows it to be likely that in consequence of this information thepolice will make enquiries and institute searches in the village to the annoyance of thevillagers or some of them. A has committed an offence under this section."
218,"218. Whoever offers any resistance to the taking of any property by the lawfulauthority of any public servant, knowing or having reason to believe that he is suchpublic servant, shall be punished with imprisonment of either description for a term whichmay extend to six months, or with fine which may extend to ten thousand rupees, or withboth."
219,"219. Whoever intentionally obstructs any sale of property offered for sale by thelawful authority of any public servant, as such, shall be punished with imprisonment ofeither description for a term which may extend to one month, or with fine which mayextend to five thousand rupees, or with both."
220,"220. Whoever, at any sale of property held by the lawful authority of a publicservant, as such, purchases or bids for any property on account of any person, whetherhimself or any other, whom he knows to be under a legal incapacity to purchase thatproperty at that sale, or bids for such property not intending to perform the obligationsunder which he lays himself by such bidding, shall be punished with imprisonment ofeither description for a term which may extend to one month, or with fine which mayextend to two hundred rupees, or with both."
221,"221. Whoever voluntarily obstructs any public servant in the discharge of hispublic functions, shall be punished with imprisonment of either description for a termwhich may extend to three months, or with fine which may extend to two thousand andfive hundred rupees, or with both."
222,"222. Whoever, being bound by law to render or furnish assistance to any publicservant in the execution of his public duty, intentionally omits to give such assistance,––(a) shall be punished with simple imprisonment for a term which may extendto one month, or with fine which may extend to two thousand and five hundredrupees, or with both;(b) and where such assistance be demanded of him by a public servant legallycompetent to make such demand for the purposes of executing any process lawfullyissued by a Court or of preventing the commission of an offence, or suppressing ariot, or affray, or of apprehending a person charged with or guilty of an offence, orof having escaped from lawful custody, shall be punished with simple imprisonmentfor a term which may extend to six months, or with fine which may extend to fivethousand rupees, or with both."
223,"223. Whoever, knowing that, by an order promulgated by a public servant lawfullyempowered to promulgate such order, he is directed to abstain from a certain act, or to takecertain order with certain property in his possession or under his management, disobeyssuch direction,––(a) shall, if such disobedience causes or tends to cause obstruction, annoyanceor injury, or risk of obstruction, annoyance or injury, to any person lawfully employed,be punished with simple imprisonment for a term which may extend to six months, orwith fine which may extend to two thousand and five hundred rupees, or with both;Resistance totaking ofproperty bylawfulauthority of apublic servant.Obstructingsale ofpropertyoffered for saleby authority ofpublic servant.Illegal purchaseor bid forpropertyoffered for saleby authority ofpublic servant.Obstructingpublic servantin discharge ofpublicfunctions.Omission toassist publicservant whenbound by lawto giveassistance.Disobedienceto order dulypromulgatedby publicservant.62THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(b) and where such disobedience causes or tends to cause danger to humanlife, health or safety, or causes or tends to cause a riot or affray, shall be punishedwith imprisonment of either description for a term which may extend to one year, orwith fine which may extend to five thousand rupees, or with both.Explanation.—It is not necessary that the offender should intend to produce harm,or contemplate his disobedience as likely to produce harm. It is sufficient that he knows ofthe order which he disobeys, and that his disobedience produces, or is likely to produce,harm.Illustration.An order is promulgated by a public servant lawfully empowered to promulgatesuch order, directing that a religious procession shall not pass down a certain street. Aknowingly disobeys the order, and thereby causes danger of riot. A has committed theoffence defined in this section."
224,"224. Whoever holds out any threat of injury to any public servant, or to any personin whom he believes that public servant to be interested, for the purpose of inducing thatpublic servant to do any act, or to forbear or delay to do any act, connected with theexercise of the public functions of such public servant, shall be punished with imprisonmentof either description for a term which may extend to two years, or with fine, or with both."
225,"225. Whoever holds out any threat of injury to any person for the purpose ofinducing that person to refrain or desist from making a legal application for protectionagainst any injury to any public servant legally empowered as such to give such protection,or to cause such protection to be given, shall be punished with imprisonment of eitherdescription for a term which may extend to one year, or with fine, or with both."
226,"226. Whoever attempts to commit suicide with the intent to compel or restrain anypublic servant from discharging his official duty shall be punished with simple imprisonmentfor a term which may extend to one year, or with fine, or with both, or with communityservice.CHAPTERXIVOF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE"
227,"227. Whoever, being legally bound by an oath or by an express provision of law tostate the truth, or being bound by law to make a declaration upon any subject, makes anystatement which is false, and which he either knows or believes to be false or does notbelieve to be true, is said to give false evidence.Explanation 1.—A statement is within the meaning of this section, whether it ismade verbally or otherwise.Explanation 2.—A false statement as to the belief of the person attesting is withinthe meaning of this section, and a person may be guilty of giving false evidence bystating that he believes a thing which he does not believe, as well as by stating that heknows a thing which he does not know.Illustrations.(a) A, in support of a just claim which B has against Z for one thousand rupees,falsely swears on a trial that he heard Z admit the justice of B’s claim. A has given falseevidence.Threat ofinjury topublic servant.Threat ofinjury toinduce personto refrainfrom applyingfor protectionto publicservant.Attempt tocommit suicideto compel orrestrainexercise oflawful power.Giving falseevidence.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY63_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(b) A, being bound by an oath to state the truth, states that he believes a certainsignature to be the handwriting of Z, when he does not believe it to be the handwriting ofZ. Here A states that which he knows to be false, and therefore gives false evidence.(c) A, knowing the general character of Z’s handwriting, states that he believes acertain signature to be the handwriting of Z; A in good faith believing it to be so. Here A’sstatement is merely as to his belief, and is true as to his belief, and therefore, although thesignature may not be the handwriting of Z, A has not given false evidence.(d) A, being bound by an oath to state the truth, states that he knows that Z was ata particular place on a particular day, not knowing anything upon the subject. A givesfalse evidence whether Z was at that place on the day named or not.(e) A, an interpreter or translator, gives or certifies as a true interpretation ortranslation of a statement or document which he is bound by oath to interpret or translatetruly, that which is not and which he does not believe to be a true interpretation ortranslation. A has given false evidence."
228,"228. Whoever causes any circumstance to exist or makes any false entry in anybook or record, or electronic record or makes any document or electronic record containinga false statement, intending that such circumstance, false entry or false statement mayappear in evidence in a judicial proceeding, or in a proceeding taken by law before a publicservant as such, or before an arbitrator, and that such circumstance, false entry or falsestatement, so appearing in evidence, may cause any person who in such proceeding is toform an opinion upon the evidence, to entertain an erroneous opinion touching any pointmaterial to the result of such proceeding is said “to fabricate false evidence”.Illustrations.(a) A puts jewels into a box belonging to Z, with the intention that they may befound in that box, and that this circumstance may cause Z to be convicted of theft. A hasfabricated false evidence.(b)A makes a false entry in his shop-book for the purpose of using it as corroborativeevidence in a Court. A has fabricated false evidence.(c)A, with the intention of causing Z to be convicted of a criminal conspiracy, writesa letter in imitation of Z’s handwriting, purporting to be addressed to an accomplice insuch criminal conspiracy, and puts the letter in a place which he knows that the officers ofthe police are likely to search. A has fabricated false evidence."
229,"229. (1) Whoever intentionally gives false evidence in any stage of a judicialproceeding, or fabricates false evidence for the purpose of being used in any stage of ajudicial proceeding, shall be punished with imprisonment of either description for a termwhich may extend to seven years, and shall also be liable to fine which may extend to tenthousand rupees.(2) Whoever intentionally gives or fabricates false evidence in any case other thanthat referred to in sub-section (1), shall be punished with imprisonment of either descriptionfor a term which may extend to three years, and shall also be liable to fine which mayextend to five thousand rupees.Fabricatingfalse evidence.Punishmentfor falseevidence.64THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Explanation 1.—A trial before a Court-martial is a judicial proceeding.Explanation 2.—An investigation directed by law preliminary to a proceeding beforea Court, is a stage of a judicial proceeding, though that investigation may not take placebefore a Court.Illustration.A, in an enquiry before a Magistrate for the purpose of ascertaining whether Zought to be committed for trial, makes on oath a statement which he knows to be false. Asthis enquiry is a stage of a judicial proceeding, A has given false evidence.Explanation 3.—An investigation directed by a Court according to law, andconducted under the authority of a Court, is a stage of a judicial proceeding, though thatinvestigation may not take place before a Court.Illustration.A, in an enquiry before an officer deputed by a Court to ascertain on the spot theboundaries of land, makes on oath a statement which he knows to be false. As thisenquiry is a stage of a judicial proceeding, A has given false evidence."
230,"230. (1) Whoever gives or fabricates false evidence, intending thereby to cause, orknowing it to be likely that he will thereby cause, any person to be convicted of anoffence which is capital by the law for the time being in force in India shall be punishedwith imprisonment for life, or with rigorous imprisonment for a term which may extend toten years, and shall also be liable to fine which may extend to fifty thousand rupees.(2) If an innocent person be convicted and executed in consequence of false evidencereferred to in sub-section (1), the person who gives such false evidence shall be punishedeither with death or the punishment specified in sub-section (1)."
231,"231. Whoever gives or fabricates false evidence intending thereby to cause, orknowing it to be likely that he will thereby cause, any person to be convicted of anoffence which by the law for the time being in force in India is not capital, but punishablewith imprisonment for life, or imprisonment for a term of seven years or upwards, shall bepunished as a person convicted of that offence would be liable to be punished.Illustration.A gives false evidence before a Court, intending thereby to cause Z to be convictedof a dacoity. The punishment of dacoity is imprisonment for life, or rigorous imprisonmentfor a term which may extend to ten years, with or without fine. A, therefore, is liable toimprisonment for life or imprisonment, with or without fine."
232,"232. (1) Whoever threatens another with any injury to his person, reputation orproperty or to the person or reputation of any one in whom that person is interested, withintent to cause that person to give false evidence shall be punished with imprisonment ofeither description for a term which may extend to seven years, or with fine, or with both.(2) If innocent person is convicted and sentenced in consequence of false evidencereferred to in sub-section (1), with death or imprisonment for more than seven years, theperson who threatens shall be punished with the same punishment and sentence in thesame manner and to the same extent such innocent person is punished and sentenced.Giving orfabricatingfalse evidencewith intent toprocureconviction ofcapitaloffence.Giving orfabricatingfalse evidencewith intent toprocureconviction ofoffencepunishable withimprisonmentfor life orimprisonment.Threateningany person togive falseevidence.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY65_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
233,"233. Whoever corruptly uses or attempts to use as true or genuine evidence anyevidence which he knows to be false or fabricated, shall be punished in the same manneras if he gave or fabricated false evidence."
234,"234. Whoever issues or signs any certificate required by law to be given or signed,or relating to any fact of which such certificate is by law admissible in evidence, knowingor believing that such certificate is false in any material point, shall be punished in thesame manner as if he gave false evidence."
235,"235. Whoever corruptly uses or attempts to use any such certificate as a truecertificate, knowing the same to be false in any material point, shall be punished in thesame manner as if he gave false evidence."
236,"236. Whoever, in any declaration made or subscribed by him, which declaration anyCourt or any public servant or other person, is bound or authorised by law to receive asevidence of any fact, makes any statement which is false, and which he either knows orbelieves to be false or does not believe to be true, touching any point material to theobject for which the declaration is made or used, shall be punished in the same manner asif he gave false evidence."
237,"237. Whoever corruptly uses or attempts to use as true any such declaration,knowing the same to be false in any material point, shall be punished in the same manneras if he gave false evidence.Explanation.—A declaration which is inadmissible merely upon the ground of someinformality, is a declaration within the meaning of section 236 and this section."
238,"238. Whoever, knowing or having reason to believe that an offence has beencommitted, causes any evidence of the commission of that offence to disappear, with theintention of screening the offender from legal punishment, or with that intention gives anyinformation respecting the offence which he knows or believes to be false shall,—(a) if the offence which he knows or believes to have been committed ispunishable with death, be punished with imprisonment of either description for aterm which may extend to seven years, and shall also be liable to fine;(b) if the offence is punishable with imprisonment for life, or with imprisonmentwhich may extend to ten years, be punished with imprisonment of either descriptionfor a term which may extend to three years, and shall also be liable to fine;(c) if the offence is punishable with imprisonment for any term not extendingto ten years, be punished with imprisonment of the description provided for theoffence, for a term which may extend to one-fourth part of the longest term of theimprisonment provided for the offence, or with fine, or with both.Illustration.A, knowing that B has murdered Z, assists B to hide the body with the intention ofscreening B from punishment. A is liable to imprisonment of either description for sevenyears, and also to fine."
239,"239. Whoever, knowing or having reason to believe that an offence has beencommitted, intentionally omits to give any information respecting that offence which he islegally bound to give, shall be punished with imprisonment of either description for a termwhich may extend to six months, or with fine which may extend to five thousand rupees,or with both.Using evidenceknown to befalse.Issuing orsigning falsecertificate.Using as true acertificateknown to befalse.Falsestatementmade indeclarationwhich is bylaw receivableas evidence.Using as truesuchdeclarationknowing it tobe false.Causingdisappearanceof evidence ofoffence, orgiving falseinformationto screenoffender.Intentionalomission togiveinformationof offence byperson boundto inform.66THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
240,"240. Whoever, knowing or having reason to believe that an offence has beencommitted, gives any information respecting that offence which he knows or believes tobe false, shall be punished with imprisonment of either description for a term which mayextend to two years, or with fine, or with both.Explanation.—In sections 238 and 239 and in this section the word “offence”includes any act committed at any place out of India, which, if committed in India, wouldbe punishable under any of the following sections, namely, 103, 105, 307, sub-sections (2),(3) and (4) of section 309, sub-sections (2), (3), (4) and (5) of section 310, 311, 312,clauses (f) and (g) of section 326, sub-sections (4), (6), (7) and (8) of section 331,clauses (a) and (b) of section 332."
241,"241. Whoever secretes or destroys any document or electronic record which hemay be lawfully compelled to produce as evidence in a Court or in any proceedinglawfully held before a public servant, as such, or obliterates or renders illegible the wholeor any part of such document or electronic record with the intention of preventing thesame from being produced or used as evidence before such Court or public servant asaforesaid, or after he shall have been lawfully summoned or required to produce the samefor that purpose, shall be punished with imprisonment of either description for a termwhich may extend to three years, or with fine which may extend to five thousand rupees,or with both."
242,"242. Whoever falsely personates another, and in such assumed character makesany admission or statement, or confesses judgment, or causes any process to be issued orbecomes bail or security, or does any other act in any suit or criminal prosecution, shall bepunished with imprisonment of either description for a term which may extend to threeyears, or with fine, or with both."
243,"243. Whoever fraudulently removes, conceals, transfers or delivers to any personany property or any interest therein, intending thereby to prevent that property or interesttherein from being taken as a forfeiture or in satisfaction of a fine, under a sentence whichhas been pronounced, or which he knows to be likely to be pronounced, by a Court orother competent authority, or from being taken in execution of a decree or order which hasbeen made, or which he knows to be likely to be made by a Court in a civil suit, shall bepunished with imprisonment of either description for a term which may extend to threeyears, or with fine which may extend to five thousand rupees, or with both."
244,"244. Whoever fraudulently accepts, receives or claims any property or any interesttherein, knowing that he has no right or rightful claim to such property or interest, orpractises any deception touching any right to any property or any interest therein,intending thereby to prevent that property or interest therein from being taken as a forfeitureor in satisfaction of a fine, under a sentence which has been pronounced, or which heknows to be likely to be pronounced by a Court or other competent authority, or frombeing taken in execution of a decree or order which has been made, or which he knows tobe likely to be made by a Court in a civil suit, shall be punished with imprisonment ofeither description for a term which may extend to two years, or with fine, or with both."
245,"245. Whoever fraudulently causes or suffers a decree or order to be passed againsthim at the suit of any person for a sum not due or for a larger sum than is due to suchperson or for any property or interest in property to which such person is not entitled, orfraudulently causes or suffers a decree or order to be executed against him after it hasbeen satisfied, or for anything in respect of which it has been satisfied, shall be punishedwith imprisonment of either description for a term which may extend to two years, or withfine, or with both.Giving falseinformationrespecting anoffencecommitted.Destruction ofdocument orelectronicrecord toprevent itsproduction asevidence.Falsepersonationfor purpose ofact orproceeding insuit orprosecution.Fraudulentremoval orconcealmentof property toprevent itsseizure asforfeited or inexecution.Fraudulentclaim toproperty toprevent itsseizure asforfeited or inexecution.Fraudulentlysufferingdecree for sumnot due.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY67_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Illustration.A institutes a suit against Z. Z, knowing that A is likely to obtain a decree againsthim, fraudulently suffers a judgment to pass against him for a larger amount at the suit ofB, who has no just claim against him, in order that B, either on his own account or for thebenefit of Z, may share in the proceeds of any sale of Z’s property which may be madeunder A’s decree. Z has committed an offence under this section."
246,"246. Whoever fraudulently or dishonestly, or with intent to injure or annoy anyperson, makes in a Court any claim which he knows to be false, shall be punished withimprisonment of either description for a term which may extend to two years, and shallalso be liable to fine."
247,"247. Whoever fraudulently obtains a decree or order against any person for a sumnot due, or for a larger sum than is due or for any property or interest in property to whichhe is not entitled, or fraudulently causes a decree or order to be executed against anyperson after it has been satisfied or for anything in respect of which it has been satisfied,or fraudulently suffers or permits any such act to be done in his name, shall be punishedwith imprisonment of either description for a term which may extend to two years, or withfine, or with both."
248,"248. Whoever, with intent to cause injury to any person, institutes or causes to beinstituted any criminal proceeding against that person, or falsely charges any person withhaving committed an offence, knowing that there is no just or lawful ground for suchproceeding or charge against that person,—(a) shall be punished with imprisonment of either description for a term whichmay extend to five years, or with fine which may extend to two lakh rupees, or withboth;(b) if such criminal proceeding be instituted on a false charge of an offencepunishable with death, imprisonment for life, or imprisonment for ten years or upwards,shall be punishable with imprisonment of either description for a term which mayextend to ten years, and shall also be liable to fine."
